Tempo_s,Temperatura_C,PWM_0_255,Tensao_V
0,26.74,23,0.441750555667002
10,26.74,44,0.856226761558141
20,26.25,64,1.26216486677819
30,26.74,83,1.62247662991375
40,26.74,100,1.95618206198779
50,26.74,116,2.26636644401505
60,27.71,129,2.52466641388334
70,27.71,141,2.76588170899254
80,28.69,151,2.96117875962748
90,29.67,159,3.11383297870187
100,30.16,165,3.24291080713512
110,30.16,172,3.36713026596453
120,31.62,175,3.44090947303807
130,32.11,178,3.49788456919975
140,33.58,179,3.50832045055086
150,33.58,180,3.52249042325579
160,34.56,179,3.5099207475081
170,35.04,178,3.48815014779454
180,36.02,176,3.44171983503816
190,37,172,3.37186999245551
200,37.98,167,3.27986587986885
210,37.98,163,3.19879426548454
220,38.95,158,3.09750848016302
230,39.44,153,2.99189290995926
240,39.93,147,2.88203358405363
250,39.44,143,2.79979945146161
260,40.42,138,2.69653251703351
270,40.42,133,2.60360869587917
280,40.91,128,2.50457829459192
290,40.42,124,2.43107397563069
300,42.38,117,2.30270079136244
310,39.93,115,2.26300130469486
320,40.91,112,2.19882764179924
330,40.91,109,2.14105491336121
340,40.91,107,2.0884313554556
350,39.93,106,2.07253388615094
360,39.44,106,2.07590695873926
370,39.44,106,2.080937425888
380,39.93,106,2.07058027620123
390,39.93,105,2.06081058642057
400,39.44,105,2.06779734866892
410,39.93,105,2.05951039609337
420,38.95,106,2.0835224274337
430,38.95,107,2.10718365604984
440,39.93,107,2.0982572618216
450,39.44,107,2.10485295639085
460,39.93,107,2.09562425149156
470,39.44,107,2.10291104942437
480,39.44,108,2.11045623629782
490,39.44,108,2.11807943398419
500,39.44,108,2.12549920749284
510,38.95,110,2.1485657273668
520,39.93,109,2.13924808273939
530,38.95,110,2.16160752958257
540,39.44,111,2.16764787671427
550,39.44,111,2.17348386331181
560,38.95,112,2.19487119763541
570,39.44,112,2.19989582326191
580,38.95,113,2.22040428237955
590,38.47,115,2.25574124007076
600,38.95,116,2.2742770540325
610,39.44,116,2.27565216828331
620,39.44,116,2.27650390021627
630,39.93,115,2.26173669571086
640,39.44,115,2.26383426888863
650,39.44,116,2.26677281869163
660,39.93,115,2.25447793070123
670,40.42,114,2.22713170626571
680,39.44,114,2.2331040701184
690,39.44,114,2.24019352319168
700,39.44,115,2.24772081552355
710,39.44,115,2.25508419282908
720,39.44,115,2.26226522308508
730,39.93,115,2.25343039479522
740,39.44,115,2.2608038251238
750,39.44,116,2.26841023719181
760,39.93,115,2.26023916249558
770,38.95,116,2.28406363706122
780,39.44,117,2.2916940389767
790,39.93,116,2.2831147457979
800,39.93,116,2.27460364637177
810,39.93,116,2.26683415234965
820,39.93,115,2.2600194877393
830,39.93,115,2.25407567635319
840,39.44,116,2.26475068830957
850,40.42,114,2.2439067921753
860,40.42,113,2.22381944673895
870,39.93,113,2.22081368066196
880,39.44,114,2.23478210011981
890,39.93,114,2.23299553683331
900,39.93,114,2.23109857899606
910,39.93,114,2.22922351840145
920,39.93,114,2.22762890787301
930,39.93,114,2.22629721057411
940,40.42,113,2.20936055005868
950,40.42,112,2.19315415528128
960,40.42,111,2.1780230092894
970,39.93,111,2.17997398491325
980,39.93,111,2.18252229071381
990,40.42,111,2.16933174732127
1000,40.42,127,2.48304183646537
1010,39.93,143,2.79937890592108
1020,40.42,157,3.08202317341875
1030,39.93,171,3.35897143267295
1040,40.42,184,3.60027765034928
1050,41.4,193,3.79263998880591
1060,41.89,202,3.9550987081115
1070,41.89,209,4.10678854904711
1080,42.86,215,4.21863049464144
1090,42.38,221,4.3398661369586
1100,43.84,225,4.40886478876134
1110,43.84,228,4.47512764428217
1120,44.33,231,4.52417467804918
1130,45.8,231,4.52585458889058
1140,46.77,229,4.49836565449251
1150,47.26,227,4.45959886610377
1160,47.75,225,4.41128576738623
1170,48.24,222,4.35428835210559
1180,49.71,217,4.2573891214759
1190,49.71,213,4.16954212419575
1200,50.2,208,4.07545833147607
1210,49.71,204,4.00712010314332
1220,50.2,201,3.93167046143445
1230,49.71,198,3.88017480045452
1240,50.2,195,3.8196459114755
1250,51.17,190,3.7341329256573
1260,50.2,188,3.68680131929146
1270,49.71,187,3.66143121582882
1280,50.2,185,3.62484130753854
1290,49.71,184,3.60774352791387
1300,50.2,182,3.57761606106508
1310,50.68,180,3.53479933668979
1320,51.17,177,3.47930384214328
1330,51.17,175,3.42781663251145
1340,50.2,174,3.41196215217245
1350,49.71,174,3.41501093707168
1360,49.71,174,3.41942095787422
1370,50.2,174,3.40819425612304
1380,50.2,173,3.39733614254872
1390,50.68,172,3.37167926454551
1400,51.17,170,3.33160698457168
1410,50.2,170,3.32511994115041
1420,50.68,169,3.30476829717271
1430,50.68,168,3.2858481194054
1440,50.2,167,3.28358847164548
1450,48.73,170,3.32960251552292
1460,49.22,171,3.35846177778923
1470,48.73,173,3.40095557439546
1480,49.22,175,3.42467622974692
1490,50.2,174,3.41442905691221
1500,49.22,175,3.43503371533674
1510,48.73,177,3.47083710980089
1520,48.73,179,3.50528723958766
1530,49.22,180,3.52174049637503
1540,49.71,180,3.52064722146474
1550,49.22,180,3.53480800637831
1560,48.24,183,3.58032686755663
1570,48.73,184,3.6085553214081
1580,48.73,185,3.63490358985423
1590,48.73,187,3.65942683750007
1600,49.22,187,3.66673476296154
1610,48.73,188,3.68920173830566
1620,48.73,189,3.71098016929566
1630,48.73,190,3.73201040745962
1640,49.22,191,3.73626989372921
1650,48.73,192,3.75605629943791
1660,48.73,193,3.7754684729432
1670,48.24,194,3.8102518306598
1680,48.73,195,3.82798882445982
1690,49.71,194,3.81305087659772
1700,50.2,193,3.78257038578662
1710,50.2,191,3.75400170829683
1720,50.2,190,3.72814682740356
1730,49.71,190,3.72087172327028
1740,49.22,190,3.7313729729211
1750,49.71,190,3.72679751053071
1760,50.2,189,3.70685682046586
1770,51.17,186,3.65661366914884
1780,50.68,185,3.62486899053347
1790,50.68,183,3.59610654440154
1800,51.17,181,3.55430655249815
1810,50.2,181,3.54662771124857
1820,50.2,181,3.5407782967845
1830,50.68,180,3.52045856841507
1840,50.68,179,3.50102307174896
1850,49.71,179,3.51411414665462
1860,49.71,180,3.52747653636765
1870,50.2,180,3.52440492983614
1880,50.68,179,3.5052439997784
1890,50.68,178,3.48647532277729
1900,50.2,178,3.48427089071743
1910,50.2,178,3.48278487741872
1920,49.71,178,3.49738287306131
1930,49.71,179,3.51139753766164
1940,50.2,179,3.50860304792822
1950,48.73,181,3.55270713992212
1960,49.22,183,3.57926033112618
1970,49.71,183,3.58797443427751
1980,49.22,184,3.61087053418919
1990,48.24,187,3.66412462223088
2000,48.73,164,3.20932015177873
2010,48.73,141,2.77270067954334
2020,48.24,121,2.37673221258785
2030,48.73,102,1.99537839081871
2040,49.22,83,1.62578519333799
2050,49.22,65,1.28143006031095
2060,49.71,48,0.944241499076253
2070,48.73,34,0.659890675822286
2080,47.26,22,0.441169647861288
2090,46.29,14,0.267675915086508
2100,45.31,7,0.135238366253552
2110,43.84,3,0.0558074485136151
2120,43.35,0,0.00470828024766538
2130,41.89,0,8.67361737988404e-19
2140,39.93,2,0.0430847511410779
2150,38.95,6,0.110585141329231
2160,37.98,10,0.199542132073292
2170,37.98,14,0.276824879171647
2180,37.49,18,0.358111827377488
2190,37,23,0.443623660538063
2200,36.51,27,0.533707097895643
2210,36.02,32,0.628424056845633
2220,35.04,38,0.743662615911631
2230,35.04,43,0.847252624788421
2240,34.07,50,0.970737046543636
2250,34.56,54,1.06661231803431
2260,35.04,58,1.13619191592197
2270,34.07,63,1.22796787266202
2280,33.58,68,1.32712746793701
2290,34.07,71,1.40189488587415
2300,33.58,76,1.48449707416023
2310,33.58,80,1.55960970069362
2320,33.58,83,1.62793259648517
2330,33.58,86,1.68998363563774
2340,34.07,88,1.73063557080239
2350,33.58,91,1.78273655539054
2360,33.58,93,1.83086678388417
2370,34.56,94,1.84366385221142
2380,34.56,95,1.85401131475783
2390,35.04,94,1.84752016019607
2400,35.53,93,1.82510380590225
2410,35.53,92,1.80359985781733
2420,35.53,91,1.78362845806302
2430,35.53,90,1.76532367981918
2440,35.53,89,1.74851991816571
2450,35.53,88,1.73304911297128
2460,35.04,88,1.73459925208593
2470,35.53,88,1.72082772547102
2480,35.53,87,1.70760600969759
2490,36.02,86,1.67916760904965
2500,35.53,85,1.66791189474912
2510,35.53,85,1.65776599310506
2520,35.53,84,1.64846556555427
2530,35.53,84,1.63964516714889
2540,36.51,82,1.5995474477023
2550,36.02,80,1.57668665808212
2560,35.53,80,1.5712399927132
2570,35.53,80,1.5668105734718
2580,35.53,80,1.56260454523961
2590,36.02,79,1.54245394745217
2600,35.53,78,1.53854848794913
2610,35.53,78,1.53490197746182
2620,36.02,77,1.51550010376338
2630,36.02,76,1.49642764267374
2640,36.02,75,1.4780603226648
2650,35.53,75,1.47644248429122
2660,36.51,74,1.44344208494058
2670,36.02,73,1.42716758134634
2680,35.53,73,1.42756747346326
2690,35.53,73,1.42830917665599
2700,36.02,72,1.41282852689022
2710,35.53,72,1.41307520693497
2720,35.53,72,1.41310285723249
2730,36.02,71,1.39694692064837
2740,35.53,71,1.39658425542374
2750,35.53,71,1.39607225287971
2760,35.04,72,1.41112488756022
2770,34.56,73,1.44066376259246
2780,35.04,74,1.45281540757383
2790,35.04,75,1.4631096847172
2800,34.56,76,1.48739757176495
2810,35.04,76,1.49456453940089
2820,36.02,75,1.46873408901987
2830,35.04,75,1.47461287647694
2840,35.04,76,1.48059589956548
2850,35.53,75,1.47056301357178
2860,35.04,75,1.47621069282462
2870,35.04,76,1.48159432016754
2880,34.56,77,1.50211236887708
2890,35.04,77,1.50599342368353
2900,35.04,77,1.50895897387908
2910,34.56,78,1.52676720070064
2920,34.56,79,1.54372987225727
2930,35.04,79,1.54402039460206
2940,34.56,80,1.55904317334872
2950,34.56,80,1.57326162103437
2960,34.56,81,1.58662586554862
2970,34.56,82,1.5989731257097
2980,35.04,81,1.59488699504759
2990,34.56,82,1.60601651873626
3000,34.56,82,1.61678944504418
